SerialNumber;AssetTag;Name;MemberOf;IsSupervised;IsManaged;IsLostModeEnabled;OsVersion;CurrentLocation;CurrentIPAddress;LastConnected;EnrollmentDate;Notes;DeviceUDID;OwnerFirstName;OwnerLastName;OwnerEmail;OwnerUserName;Model;WiFiMAC;EthernetMAC;IMEI;MEID
DMPDQ0R7Q1GF;;"STAFF 001";"All iPads,All iPads,Staff iPads";1;1;0;14.8.1;;149.106.174.182;"24-04-2023 09:18:43";"14-12-2020 16:35:48";;00008020-000309E02104402E;;;;;"iPad (8th generation, Wi-Fi Only)";44:a8:fc:6b:53:55;;;
DMPDQ2H8Q1GF;;"STAFF 002";"All iPads,All iPads,Staff iPads";1;1;0;14.8.1;;149.106.174.182;"24-04-2023 09:22:49";"15-12-2020 09:03:53";;00008020-000A15CE11C2402E;;;;;"iPad (8th generation, Wi-Fi Only)";44:a8:fc:69:02:04;;;
DMQDQ77YQ1GF;;"STAFF 003";"All iPads,All iPads,Staff iPads";1;1;0;14.6.0;;149.106.174.182;"24-04-2023 09:20:51";"15-12-2020 07:53:06";;00008020-001E3C123C04402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:70:f6:86;;;
DMQDQ7ADQ1GF;;"STAFF 004";"All iPads,All iPads,Staff iPads";1;1;0;14.4.2;;149.106.174.182;"15-04-2023 22:52:52";"15-12-2020 07:50:15";;00008020-001255A91422402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:65:31:62;;;
DMQDQ7SHQ1GF;;"STAFF 005";"All iPads,All iPads,Staff iPads";1;1;0;14.8.1;;149.106.174.182;"24-04-2023 09:18:39";"15-12-2020 10:30:00";;00008020-000468923C04402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:73:13:a1;;;
F6MDR2Z7Q1GF;;"STAFF 006";"All iPads,All iPads,Staff iPads";1;1;0;14.8.1;;149.106.174.182;"24-04-2023 09:18:41";"14-12-2020 16:13:16";;00008020-000A08CA3C84402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:83:af:bf;;;
H96DR0C7Q1GF;;"STAFF 007";"All iPads,All iPads,Staff iPads";1;1;0;14.8.1;;149.106.174.182;"24-04-2023 09:23:08";"15-12-2020 09:16:57";;00008020-000A4C993C84402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:89:4c:a0;;;
H96DR0LHQ1GF;;"STAFF 008";"All iPads,All iPads,Staff iPads";1;1;0;15.6.1;;149.106.174.182;"24-04-2023 09:18:41";"15-12-2020 10:47:35";;00008020-001018C41422402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:7f:ee:9b;;;
H96DR0LUQ1GF;;"STAFF 009";"All iPads,All iPads,Staff iPads";1;1;0;14.7.1;;149.106.174.182;"24-04-2023 09:23:23";"15-12-2020 07:39:49";;00008020-000355AE0222402E;;;;;"iPad (8th generation, Wi-Fi Only)";78:e3:de:84:29:ba;;;
DMPDPF5EQ1GF;;"STAFF 010";"All iPads,All iPads,Staff iPads";1;1;0;14.6.0;;46.183.196.250;"10-11-2021 23:43:16";"14-12-2020 14:43:19";;00008020-000D24900E22402E;;;;;"iPad (8th generation, Wi-Fi Only)";44:a8:fc:6c:2a:c1;;;
